File,rowID,Process Time [s],DateTime,Timestamp,CurrentDate,CurrentTime,CurrentState,ToolID,DimerLotID,Batch,OperatorID,BoatQTY,BatchQuality,SurfaceArea,Thickness,DimerGrams,CounterRun,VCH_A_10T,VCH_B_10T,CCH_1T,CCH_Pirani,Foreline,Total_Runtime,Maint_Time,VA1,VA2,VN1,VCH,VPT4,VCPD,VCPE,VTC,VCP,VCT,VRP,VCTE,Pyro_UpperC,Pyro_LowerC,ColdTrap_CanisterC,Chiller_AmbientC,CoatCh_TopRearC,CoatCh_TopLeftC,CoatCh_TopRightC,CoatCh_TopFrontC,VaporCh_RearwallC,Band_FrntC,Band_MidC,Band_RearC,VaporCh_DoorC,VaporCh_DoorHtrC,VaporCh_RearHtrC,PumpoilC,CoatCh_Left_FlangeC,CoatCh_Right_FlangeC,CoatCh_Top_FlangeC,CoatCh_Bottom_FlangeC,CF160_Top_FlangeC,CF160_Front_FlangeC,CF160_Rear_FlangeC,CF160_Upper_FlangeC,CF160_Lower_FlangeC,CoatCh_InletC,VCT_JacketC,VRP_JacketC,VCP_JacketC,VCP_PipePortC,VCT_PipePortC,VRP_PipePortC,VRP_PaddleC,CF75_VaporChC,Cf75_45ELLC,VaporCh_FlangeC,XEntry_2INPipeC,XExit_2INPipeC,VCT_PaddleC,First_45ELLC,Second_45ELLC,VaporCh_PipeC,VaporCH_OutletC,VA1_C,VPT3_C,VPT4_C,PumpPipe_90ELLC,ISO80_PumpPortC,ISO80_ColtrapPortC,ISO80_ColdtrapC,VRP_PipeC,Coldtrap_4IN_PipeC,Coldtrap_8IN_PipeC,VCT_PipeC,CF100_XEntryC,ISO100_XExit_FlangeC,CF75_PyroTube_EntryC,VCT_90ELLC,SmartPyro
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/Mach750B03-202103011202.csv,25717,-2683,2021-02-25T11:45:37.000Z,1614253537,2/25/2021 12:00:00 AM,11:45:37,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,1023.88,0,1024,7.53,552.59,5891.48,0,0,0,0,0,1,0,0,0,0,0,1,0,530.13,530.2,24.82,-32768,33.04,40.05,-32768,41.93,-32768,60.24,60.22,60.36,58.31,60.02,60.39,-32768,48.53,45.28,30.5,44.01,145.04,145.19,157.16,98.16,150.17,34.61,144.84,177.4,182.97,93.23,47.12,50,174.87,-32768,191.58,60.02,156.36,150.36,133.12,172.44,144.71,148.65,172.74,135.03,135.06,135.03,133.9,135.06,134.93,134.93,164.54,144.92,144.89,82.36,144.99,114.55,169.92,144.84,1
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/Mach750B03-202103011202.csv,25718,-2673,2021-02-25T11:45:47.000Z,1614253547,2/25/2021 12:00:00 AM,11:45:47,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,1023.88,0,1024.04,7.52,440.96,5891.48,0,0,0,0,0,1,0,0,0,0,0,1,0,530.11,529.92,24.74,-32768,32.95,39.97,-32768,42.08,-32768,60.17,60.07,60.36,58.41,60.12,63.21,-32768,48.36,45.21,30.55,44.01,144.97,145.19,157.28,98.14,150.14,34.66,144.89,177.97,183.95,93.09,47.19,49.64,175.02,-32768,191.65,60.19,156.63,150.32,133.1,172.87,144.44,148.57,172.59,135.03,134.91,134.96,132.58,134.98,135.03,135.03,164.12,144.94,145.04,82.27,144.99,114.62,169.92,144.99,1
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/Mach750B03-202103011202.csv,25719,-2663,2021-02-25T11:45:57.000Z,1614253557,2/25/2021 12:00:00 AM,11:45:57,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,1023.92,0,1024.08,7.53,352.53,5891.48,0,0,0,0,0,1,0,0,0,0,0,1,0,530.18,529.78,24.67,-32768,32.92,40.02,-32768,42,-32768,60.02,59.88,60.46,58.33,59.83,65.46,-32768,48.43,45.14,30.47,44.06,145.04,145.12,157.43,98.14,150.17,34.73,144.99,178.3,185.5,92.99,47.29,49.23,175.02,-32768,191.83,60.1,157.01,150.56,133.17,173.57,144.38,148.5,172.59,135.03,134.98,135.03,130.82,134.98,135.08,135.01,163.65,144.92,144.87,82.24,144.89,114.6,169.92,145.07,1
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/Mach750B03-202103011202.csv,25720,-2643,2021-02-25T11:46:17.000Z,1614253577,2/25/2021 12:00:00 AM,11:46:17,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,1023.92,0,1024,7.54,220.39,5891.48,0,0,0,0,0,1,0,0,0,0,0,1,0,530.11,529.99,24.74,-32768,32.99,39.95,-32768,42,-32768,59.95,59.76,60.27,58.26,59.98,64.54,-32768,48.36,45.21,30.62,43.99,145.04,145.34,157.6,98.16,150.07,34.88,144.99,178.37,184.23,92.99,47.15,48.29,175.07,-32768,191.73,60.34,157.6,150.64,133.1,175.5,144.66,148.42,172.67,135.11,134.98,135.01,128.54,134.91,135.03,134.96,163.35,144.92,144.99,82.44,144.99,114.62,169.92,145.14,1
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/Mach750B03-202103011202.csv,25721,-2633,2021-02-25T11:46:27.000Z,1614253587,2/25/2021 12:00:00 AM,11:46:27,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,1023.92,0,1024.04,7.53,173.62,5891.48,0,0,0,0,0,1,0,0,0,0,0,1,0,530.23,530.18,24.82,-32768,32.97,40,-32768,42.05,-32768,59.81,59.78,60.22,58.24,59.88,62.75,-32768,48.19,45.26,30.52,44.13,144.97,145.34,157.68,98.16,150.02,34.9,144.99,178.22,183.02,93.21,47.07,48,175.07,-32768,191.8,60.39,157.68,150.61,133.1,176.7,144.87,148.5,172.77,135.2,135.06,134.96,127.73,134.98,135.08,135.01,163.42,144.99,145.02,82.32,144.99,114.77,169.99,145.22,1
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/Mach750B03-202103011202.csv,25722,-2623,2021-02-25T11:46:37.000Z,1614253597,2/25/2021 12:00:00 AM,11:46:37,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,1023.84,0,1024,7.52,135.39,5891.48,0,0,0,0,0,1,0,0,0,0,0,1,0,530.04,530.2,24.82,-32768,32.99,39.95,-32768,41.98,-32768,59.81,59.88,60.17,58.28,60.02,61.45,-32768,48.43,45.21,30.55,44.06,145.12,145.41,157.63,98.11,150.14,34.81,145.07,177.85,182.6,93.3,47.24,47.44,175.05,-32768,191.8,60.22,157.75,150.61,133.02,177.67,145.2,148.42,172.69,135.2,135.01,135.06,127.12,134.96,135.08,134.93,163.35,145.07,144.97,82.19,144.99,114.84,169.92,145.22,1
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/Mach750B03-202103011202.csv,25723,-2613,2021-02-25T11:46:47.000Z,1614253607,2/25/2021 12:00:00 AM,11:46:47,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,1023.92,0,1024.04,7.53,103.56,5891.48,0,0,0,0,0,1,0,0,0,0,0,1,0,529.99,530.16,24.89,-32768,33.04,40,-32768,42.05,-32768,59.81,59.85,59.93,58.31,59.95,59.93,-32768,48.36,45.14,30.62,44.06,145.02,145.09,157.65,98.06,150.14,34.95,144.99,177.25,183.63,93.72,47.22,47.19,175.07,-32768,191.65,60.1,157.68,150.71,133.02,178.42,145.53,148.55,172.89,135.18,134.98,135.01,126.7,134.98,135.01,135.08,163.27,145.07,145.02,82.32,144.99,114.84,169.99,145.29,1
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/Mach750B03-202103011202.csv,25724,-2603,2021-02-25T11:46:57.000Z,1614253617,2/25/2021 12:00:00 AM,11:46:57,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,1023.92,0,1024.04,7.54,76.77,5891.48,0,0,0,0,0,1,0,0,0,0,0,1,0,529.95,530.04,24.87,-32768,33.07,40.02,-32768,41.88,-32768,59.95,60,59.85,58.16,60.1,59.35,-32768,48.29,45.21,30.45,43.96,145.09,145.24,157.5,98.21,150.14,34.95,145.14,176.8,185.2,94.08,47.29,46.97,174.97,-32768,191.55,59.95,157.75,150.61,133.15,179.6,145.95,148.62,172.99,135.28,135.06,134.96,126.41,135.06,135.01,135.01,163.37,145.09,145.07,82.29,144.99,114.92,169.99,145.29,1
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/Mach750B03-202103011202.csv,25725,-2593,2021-02-25T11:47:07.000Z,1614253627,2/25/2021 12:00:00 AM,11:47:07,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,1023.88,0,1024.04,7.54,55.67,5891.48,0,0,0,0,0,1,0,0,0,0,0,1,0,529.78,529.88,24.72,-32768,32.99,39.95,-32768,41.96,-32768,59.93,59.98,59.9,58.16,59.95,61.01,-32768,48.19,45.19,30.59,43.99,145.02,145.09,157.5,98.14,149.99,35.1,145.07,176.2,185.83,94.39,47.12,46.73,174.9,-32768,191.65,59.88,157.75,150.56,133.02,180.3,146.49,148.7,173.04,135.18,135.13,135.08,126.19,134.98,135.15,135.08,163.37,145.17,145.14,82.22,145.07,114.99,169.92,145.29,1
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/Mach750B03-202103011202.csv,25726,-2573,2021-02-25T11:47:27.000Z,1614253647,2/25/2021 12:00:00 AM,11:47:27,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,1023.92,0,1024.04,7.53,24.03,5891.48,0,0,0,0,0,1,0,0,0,0,0,1,0,530.23,530.11,24.65,-32768,32.97,39.92,-32768,41.88,-32768,60.22,60.22,59.9,58.21,60.02,65.41,-32768,48.26,45.26,30.62,44.06,145.07,145.07,157.35,98.18,150.07,35.1,145.07,174.95,183.7,95.24,47.15,46.39,175.12,-32768,191.73,60.17,157.3,150.54,133.1,181.27,147.53,148.77,173.19,134.96,134.98,135.11,126.11,134.84,134.98,134.98,163.23,145.24,144.92,82.36,144.92,114.99,169.92,145.37,1
