File,rowID,Process Time [s],DateTime,Timestamp,CurrentDate,CurrentTime,CurrentState,ToolID,DimerLotID,Batch,OperatorID,BoatQTY,BatchQuality,SurfaceArea,Thickness,DimerGrams,CounterRun,VCH_A_10T,VCH_B_10T,CCH_1T,CCH_Pirani,Foreline,Run_Time,Maint_Time,VA1,VCTE,VCH,VCT,VGVA,VGVB,PyroA_UpperLowerC,PyroB_UpperLowerC,PyroA_HeaterC,PyroB_HeaterC,PyroY_HeaterC,PyroA_CF75C,PyroB_CF75C,VCH_A_DoorHeaterC,VCH_B_DoorHeaterC,VCH_A_RearHeaterC,VCH_B_RearHeaterC,VCH_A_DoorC,VCH_B_DoorC,VCH_A_FlangeHeaterC,VCH_B_FlangeHeaterC,VCH_A_PipeHeaterC,VCH_B_PipeHeaterC,BandA_FrntHeaterC,BandB_FrntHeaterC,BandA_MidHeaterC,BandB_MidHeaterC,BandA_RearHeaterC,BandB_RearHeaterC,CCH_UpperHeaterC,CCH_LowerHeaterC,CCH_ExPipeHeaterC,CCH_InPipeHeaterC,CCH_CF75C,VGVA_HeaterC,VGVB_HeaterC,VCT_HeaterC,VA1_HeaterC,PT1A_FlangeHeaterC,PT1A_PipeHeaterC,PYROA_CF40_HeaterC,PT1B_FlangeHeaterC,PT1B_PipeHeaterC,PYROB_CF40_HeaterC,Port1_PipeheaterC,Port2_PipeheaterC,Port3_PipeheaterC,Port4_PipeheaterC,ColdTrap_CanisterC,Chiller_AmbientC,Chiller_OutputC,SmartPyro
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,2223,682,2021-02-19T17:08:44.000Z,1613754524,2/19/2021 12:00:00 AM,17:08:44,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,70,286.8,13.68,0,0.01,2834.65,0,0,0,1,1,0,0,624,624.75,50.58,49.93,51.98,49.3,49.83,51.21,49.9,49.95,50.12,83.45,50.73,50.48,53.14,70.29,-32768,-32768,72.61,70.07,170.14,170.02,170.02,169.82,70.09,73.19,169.84,169.97,169.99,175.7,169.92,179.67,152.68,170.07,184.2,104.51,197.78,21.63,21.44,21.58,48.79,50.19,22.81,-99.96,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,2224,703,2021-02-19T17:09:05.000Z,1613754545,2/19/2021 12:00:00 AM,17:09:05,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,69.6,286.8,13.64,0,0.01,2834.65,0,0,0,1,1,0,0,624.87,625.27,50.8,50.07,52.25,49.81,50.15,51.52,50.05,50.02,49.9,83.52,50.58,49.32,53.65,70.36,-32768,-32768,72.63,70.24,169.99,170.04,170.04,169.89,69.85,73.11,170.07,169.89,169.99,175.6,169.99,179.6,152.45,170.14,184.13,104.66,197.68,21.49,21.54,21.58,48.74,50,22.66,-100.19,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,2225,713,2021-02-19T17:09:15.000Z,1613754555,2/19/2021 12:00:00 AM,17:09:15,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,69.6,287.2,13.6,0,0.01,2834.65,0,0,0,1,1,0,0,624.45,624.56,50.87,50.22,52.25,49.88,50.22,51.59,50.07,49.98,49.83,83.52,50.36,48.96,53.07,70.29,-32768,-32768,72.61,69.93,170.07,170.02,170.09,170.12,69.88,73.04,169.99,169.87,169.97,175.6,169.99,179.52,152.35,170.07,184.2,104.7,197.91,21.49,21.71,21.51,48.77,49.88,22.71,-100.27,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,2226,723,2021-02-19T17:09:25.000Z,1613754565,2/19/2021 12:00:00 AM,17:09:25,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,69.6,286.8,13.6,0,0.01,2834.65,0,0,0,1,1,0,0,624.73,624.92,50.77,50.12,52.13,49.9,50.19,51.5,50.07,50.05,50,83.55,50.17,49.2,53.36,70.51,-32768,-32768,72.56,70.09,169.94,169.97,169.97,169.82,69.95,73.04,169.99,169.84,170.02,175.52,169.89,179.57,152.08,169.99,184.13,104.83,197.98,21.51,21.86,21.44,48.79,49.98,22.58,-100.39,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,2227,744,2021-02-19T17:09:46.000Z,1613754586,2/19/2021 12:00:00 AM,17:09:46,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,69.6,286.8,13.6,0,0.01,2834.65,0,0,0,1,1,0,0,624.87,625.2,50.7,50.07,51.98,49.61,50.17,51.33,49.9,50.02,50,83.55,49.83,50.39,53.24,70.53,-32768,-32768,72.05,70.02,170.14,170.04,169.97,170.14,70.05,73.07,169.84,169.92,170.09,175.57,169.99,179.52,152.01,170.22,184.23,104.9,197.86,21.56,21.83,21.58,48.79,49.76,22.61,-100.55,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,2228,754,2021-02-19T17:09:56.000Z,1613754596,2/19/2021 12:00:00 AM,17:09:56,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,69.6,286.8,13.64,0,0.01,2834.65,0,0,0,1,1,0,0,624.75,624.71,50.68,49.95,51.93,49.54,50.07,51.3,50.15,49.98,50.07,83.55,49.76,51.11,53.09,70.75,-32768,-32768,72.2,70.02,169.87,169.99,170.07,169.82,69.95,73.26,169.89,170.07,170.02,175.62,169.87,179.47,151.98,170.07,184.05,104.87,197.86,21.66,21.86,21.51,48.72,49.71,22.71,-100.63,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,2229,775,2021-02-19T17:10:17.000Z,1613754617,2/19/2021 12:00:00 AM,17:10:17,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,70,286.8,13.52,0,0.01,2834.65,0,0,0,1,1,0,0,625.04,625.42,50.48,49.83,51.79,49.4,49.88,51.18,49.88,49.83,50.07,83.55,49.95,51.23,53.31,70.75,-32768,-32768,72.61,70.24,169.87,169.99,170.07,169.92,69.9,73.19,169.84,169.82,170.07,175.65,169.97,179.35,151.86,170.07,184.23,105.14,197.81,21.58,21.66,21.61,48.74,49.88,22.66,-100.79,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,2230,785,2021-02-19T17:10:27.000Z,1613754627,2/19/2021 12:00:00 AM,17:10:27,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,70,286.8,13.52,0,0.01,2834.65,0,0,0,1,1,0,0,624.97,625.13,50.46,49.81,51.81,49.28,49.78,51.02,49.95,50,49.86,83.62,50.34,50.75,53.09,70.82,-32768,-32768,72.68,70,170.12,170.02,169.94,169.84,69.97,73.14,169.92,170.07,170.09,175.65,170.04,179.27,151.81,170.09,184.08,105.19,197.91,21.68,21.86,21.61,48.67,49.88,22.71,-100.87,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,2231,796,2021-02-19T17:10:38.000Z,1613754638,2/19/2021 12:00:00 AM,17:10:38,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,70,286.8,13.48,0,0.01,2834.65,0,0,0,1,1,0,0,624.97,624.73,50.56,49.98,51.88,49.42,49.9,51.14,49.88,49.86,49.81,83.72,50.41,50.1,53.45,70.89,-32768,-32768,72.73,69.9,169.82,170.02,169.94,170.17,70,73.14,169.99,169.97,169.99,175.57,169.94,179.32,151.71,170.07,184.15,105.21,197.81,21.61,21.71,21.61,48.74,50.1,22.73,-100.94,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,2232,806,2021-02-19T17:10:48.000Z,1613754648,2/19/2021 12:00:00 AM,17:10:48,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,69.6,286.4,13.44,0,0.01,2834.65,0,0,0,1,1,0,0,625.06,625.01,50.8,50,52.05,49.66,49.98,51.21,50.05,49.93,49.81,83.64,50.39,49.71,53.33,70.99,-32768,-32768,72.56,70.34,170.17,169.97,169.89,169.89,69.93,73.14,169.84,169.97,169.99,175.5,169.97,179.37,151.56,170.14,184.1,105.21,197.83,21.66,21.63,21.61,48.67,50.1,22.78,-101.02,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,2233,817,2021-02-19T17:10:59.000Z,1613754659,2/19/2021 12:00:00 AM,17:10:59,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,69.6,286.4,13.44,0,0.01,2834.65,0,0,0,1,1,0,0,624.99,625.37,51.04,50.39,52.32,49.71,50.34,51.5,50.05,50.07,49.88,83.72,50.41,49.16,52.73,70.96,-32768,-32768,72.39,70.36,169.82,169.99,170.07,169.89,69.95,73.11,169.99,169.99,170.02,175.65,170.04,179.35,151.66,170.09,184.25,105.38,197.71,21.68,21.63,21.71,48.74,50.1,22.81,-101.06,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,2234,827,2021-02-19T17:11:09.000Z,1613754669,2/19/2021 12:00:00 AM,17:11:09,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,70,286.8,13.4,0,0.01,2834.65,0,0,0,1,1,0,0,624.99,625.08,51.18,50.53,52.44,49.98,50.39,51.62,49.86,49.88,49.9,83.81,50.19,48.99,53.33,71.06,-32768,-32768,72.37,69.76,170.12,170.09,170.09,170.12,70.09,73.23,170.02,169.99,170.09,175.6,170.07,179.45,151.66,170.09,184.2,105.33,197.78,21.76,21.73,21.71,48.67,49.95,22.88,-101.18,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,2235,838,2021-02-19T17:11:20.000Z,1613754680,2/19/2021 12:00:00 AM,17:11:20,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,69.6,286.4,13.4,0,0.01,2834.65,0,0,0,1,1,0,0,625.06,624.73,51.09,50.51,52.51,50.05,50.48,51.64,50.07,50.05,49.98,83.74,49.98,49.3,53.62,71.06,-32768,-32768,72.39,70,170.07,169.99,170.07,170.02,70,73.14,170.02,169.97,169.92,175.6,170.09,179.37,151.66,170.09,184.13,105.38,197.81,21.86,21.81,21.63,48.7,49.9,22.83,-101.22,0,NA
