File,rowID,Process Time [s],DateTime,Timestamp,CurrentDate,CurrentTime,CurrentState,ToolID,DimerLotID,Batch,OperatorID,BoatQTY,BatchQuality,SurfaceArea,Thickness,DimerGrams,CounterRun,VCH_A_10T,VCH_B_10T,CCH_1T,CCH_Pirani,Foreline,Run_Time,Maint_Time,VA1,VCTE,VCH,VCT,VGVA,VGVB,PyroA_UpperLowerC,PyroB_UpperLowerC,PyroA_HeaterC,PyroB_HeaterC,PyroY_HeaterC,PyroA_CF75C,PyroB_CF75C,VCH_A_DoorHeaterC,VCH_B_DoorHeaterC,VCH_A_RearHeaterC,VCH_B_RearHeaterC,VCH_A_DoorC,VCH_B_DoorC,VCH_A_FlangeHeaterC,VCH_B_FlangeHeaterC,VCH_A_PipeHeaterC,VCH_B_PipeHeaterC,BandA_FrntHeaterC,BandB_FrntHeaterC,BandA_MidHeaterC,BandB_MidHeaterC,BandA_RearHeaterC,BandB_RearHeaterC,CCH_UpperHeaterC,CCH_LowerHeaterC,CCH_ExPipeHeaterC,CCH_InPipeHeaterC,CCH_CF75C,VGVA_HeaterC,VGVB_HeaterC,VCT_HeaterC,VA1_HeaterC,PT1A_FlangeHeaterC,PT1A_PipeHeaterC,PYROA_CF40_HeaterC,PT1B_FlangeHeaterC,PT1B_PipeHeaterC,PYROB_CF40_HeaterC,Port1_PipeheaterC,Port2_PipeheaterC,Port3_PipeheaterC,Port4_PipeheaterC,ColdTrap_CanisterC,Chiller_AmbientC,Chiller_OutputC,SmartPyro
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,11396,-991,2021-02-22T19:35:00.000Z,1614022500,2/22/2021 12:00:00 AM,19:35:00,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,3373.2,3381.2,1023.88,0,3.35,3017.5,0,0,0,1,1,0,0,624.97,625.18,49.35,49.64,53.04,48.99,49.83,50.48,50.07,49.98,50.1,82.34,50.07,49.32,52.73,73.6,-32768,-32768,69.97,70.05,169.87,169.74,169.52,169.92,70.02,79.27,169.92,170.04,170.09,174.1,170.02,175.87,156.38,170.04,178.8,107.99,201.71,21.66,21.56,21.44,47.15,50.6,12,-104.5,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,11397,-980,2021-02-22T19:35:11.000Z,1614022511,2/22/2021 12:00:00 AM,19:35:11,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,3764.4,3771.2,1024,0,3.75,3017.5,0,0,0,1,1,0,0,624.97,624.9,49.49,49.78,53.12,48.91,49.88,50.53,49.93,49.9,49.88,82.48,49.93,49.69,52.58,73.5,-32768,-32768,70,70.14,170.02,169.82,169.52,169.97,69.95,78.48,169.92,170.04,170.02,174.12,169.92,175.77,156.38,169.89,178.9,107.99,201.43,21.66,21.61,21.51,47.17,50.51,12.15,-104.58,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,11398,-970,2021-02-22T19:35:21.000Z,1614022521,2/22/2021 12:00:00 AM,19:35:21,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,4239.6,4243.2,1023.96,0,4.24,3017.5,0,0,0,1,1,0,0,625.11,624.97,49.86,49.86,53.45,49.18,49.98,50.63,50.07,49.98,50.05,82.58,49.86,50.41,52.22,73.6,-32768,-32768,69.93,69.93,169.72,169.82,169.59,169.99,69.95,78.04,169.99,169.97,170.09,174.05,170.12,175.97,156.31,169.97,178.82,108.11,201.41,21.66,21.66,21.61,47.27,50.51,12.33,-104.54,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,11399,-960,2021-02-22T19:35:31.000Z,1614022531,2/22/2021 12:00:00 AM,19:35:31,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,4687.2,4689.6,1024,0,4.67,3017.5,0,0,0,1,1,0,0,625.04,625.11,50.34,50.19,53.91,49.35,50.27,50.85,49.86,50.05,49.98,82.65,49.76,50.89,52.44,73.5,-32768,-32768,70.12,69.76,170.19,169.87,169.72,169.92,70.09,77.87,170.07,169.94,170.04,174.02,170.04,175.95,156.16,169.97,178.72,108.11,201.36,21.63,21.68,21.51,47.27,50.44,12.38,-104.54,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,11400,-950,2021-02-22T19:35:41.000Z,1614022541,2/22/2021 12:00:00 AM,19:35:41,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,5187.2,5192.4,1023.96,0,5.14,3017.5,0,0,0,1,1,0,0,624.97,625.11,50.65,50.65,54.4,49.54,50.46,51.11,50.02,50.07,49.9,82.73,49.9,51.11,53.02,73.57,-32768,-32768,70.05,70.14,169.97,169.89,169.67,170.04,70.31,78.04,169.97,170.02,170.07,173.97,170.09,176.02,156.21,170.02,178.82,108.13,201.21,21.73,21.73,21.58,47.22,50.46,12.55,-104.58,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,11401,-940,2021-02-22T19:35:51.000Z,1614022551,2/22/2021 12:00:00 AM,19:35:51,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,5784.4,5795.2,1024,0,5.81,3017.5,0,0,0,1,1,0,0,625.04,624.97,51.11,51.11,54.57,49.78,50.41,51.14,50.07,49.9,49.98,82.7,49.98,50.97,52.66,73.65,-32768,-32768,70.05,70.05,169.94,169.89,169.82,170.17,70.41,78.4,169.99,170.04,170.02,173.97,170.04,176.12,153.8,169.99,178.82,108.18,200.98,21.58,21.78,21.58,47.39,50.51,12.55,-104.58,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,11402,-929,2021-02-22T19:36:02.000Z,1614022562,2/22/2021 12:00:00 AM,19:36:02,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,6869.6,6880.4,1024,0,6.95,3017.5,0,0,0,1,1,0,0,625.04,624.97,51.09,51.02,54.71,49.64,50.41,50.99,49.95,50.07,49.98,82.8,50.27,50.53,52.44,73.57,-32768,-32768,70.14,70,169.94,169.89,169.82,169.92,70.6,78.74,169.99,170.02,170.07,173.95,170.14,176.15,153.77,169.97,181.27,108.28,200.91,21.56,21.81,21.66,47.42,50.73,12.7,-104.62,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,11403,-919,2021-02-22T19:36:12.000Z,1614022572,2/22/2021 12:00:00 AM,19:36:12,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,7711.2,7712.8,1023.96,0,7.76,3017.5,0,0,0,1,1,0,0,625.04,625.06,51.04,50.75,54.54,49.54,50.34,50.99,49.95,50.07,50.12,82.8,50.48,50.02,52.73,73.65,-32768,-32768,70.07,69.85,169.97,170.07,169.84,169.99,70.6,78.91,169.99,169.89,170.02,173.95,170.12,176.12,153.62,169.97,181.35,108.35,200.78,21.51,21.83,21.51,47.32,50.77,12.7,-104.66,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,11404,-909,2021-02-22T19:36:22.000Z,1614022582,2/22/2021 12:00:00 AM,19:36:22,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,8316.8,8318.8,1024.04,0,8.39,3017.5,0,0,0,1,1,0,0,624.97,624.97,50.94,50.6,54.49,49.49,50.34,50.85,50.07,50.05,50.12,82.87,50.58,49.61,52.37,73.72,-32768,-32768,70.14,70.07,170.17,170.07,169.84,170.14,70.6,78.72,169.92,170.02,170.12,173.97,170.12,176.27,153.65,170.07,181.37,108.33,200.46,21.36,21.96,21.66,47.49,50.73,12.75,-104.7,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,11405,-898,2021-02-22T19:36:33.000Z,1614022593,2/22/2021 12:00:00 AM,19:36:33,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,8880,8880.4,1023.96,0,9.2,3017.5,0,0,0,1,1,0,0,625.04,624.97,50.77,50.48,54.13,49.42,50.24,50.75,50.1,50,50.12,82.94,50.41,49.23,52.15,73.72,-32768,-32768,70.09,70.02,169.72,169.92,169.82,169.84,70.38,78.72,169.92,169.94,170.14,173.9,170.12,176.35,153.65,170.07,181.3,108.35,200.56,21.44,21.76,21.73,47.54,50.7,12.93,-104.7,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,11406,-888,2021-02-22T19:36:43.000Z,1614022603,2/22/2021 12:00:00 AM,19:36:43,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,9208.8,9208,1023.96,0,9.41,3017.5,0,0,0,1,1,0,0,625.04,625.04,50.53,50.24,54.08,49.23,50.02,50.68,50,49.98,49.98,83.02,50.34,49.16,52.66,73.74,-32768,-32768,69.78,69.93,170.34,169.99,169.84,170.17,70.19,78.35,169.94,170.02,169.99,174,170.14,176.3,153.65,170.07,181.32,108.25,200.48,21.51,21.83,21.73,47.63,50.73,13,-104.7,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,11407,-256,2021-02-22T19:47:15.000Z,1614023235,2/22/2021 12:00:00 AM,19:47:15,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,513.2,474.4,425.36,0,0.42,3017.5,0,0,0,1,1,0,0,625.08,625.08,52.08,50.27,55.24,49.08,50.36,50.8,50.07,50.02,50.1,85.67,50.48,49.16,52.15,75.34,-32768,-32768,70.19,69.97,170.02,169.54,169.39,169.99,70.12,78.84,169.99,169.97,169.99,175.47,169.89,177.7,159.79,169.79,178.35,110.81,199.18,21.11,21.31,21.21,48.7,50.48,13.58,-104.98,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,11408,-246,2021-02-22T19:47:25.000Z,1614023245,2/22/2021 12:00:00 AM,19:47:25,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,407.2,366,304.36,0,0.3,3017.5,0,0,0,1,1,0,0,625.08,625.23,51.76,50.17,55.1,49.01,50.27,50.77,49.83,50.02,50.1,85.77,50.17,49.13,52.95,75.12,-32768,-32768,69.97,70.29,170.09,169.69,169.47,170.07,69.83,78.21,169.99,169.87,169.97,175.47,169.97,177.77,159.87,169.87,178.42,110.98,199.23,21.16,21.39,21.16,48.77,50.34,13.7,-104.98,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,11409,-226,2021-02-22T19:47:45.000Z,1614023265,2/22/2021 12:00:00 AM,19:47:45,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,265.6,222.8,181.64,0,0.18,3017.5,0,0,0,1,1,0,0,624.99,624.94,51.52,49.86,54.86,48.84,50,50.58,50.19,50,50.02,85.67,49.88,50.07,52.44,74.76,-32768,-32768,70.14,69.93,169.99,169.74,169.64,169.87,69.78,77.17,169.99,169.97,170.07,175.55,169.77,177.72,159.69,169.84,178.42,111.06,199.38,21.29,21.44,21.21,48.82,50.24,13.85,-104.94,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,11410,-216,2021-02-22T19:47:55.000Z,1614023275,2/22/2021 12:00:00 AM,19:47:55,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,225.6,183.2,148.96,0,0.14,3017.5,0,0,0,1,1,0,0,625.06,625.08,51.45,49.71,54.66,48.94,49.9,50.48,50.05,50,50.02,85.53,49.73,50.87,52.87,74.68,-32768,-32768,70,70.22,170.09,169.92,169.54,170.19,70.02,77.12,169.84,170.12,169.99,175.47,169.89,177.77,159.79,169.94,178.5,111.13,199.36,21.14,21.29,21.06,48.82,50.24,13.98,-105.01,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,11411,-205,2021-02-22T19:48:06.000Z,1614023286,2/22/2021 12:00:00 AM,19:48:06,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,196,152.4,126.04,0,0.12,3017.5,0,0,0,1,1,0,0,625.06,625.08,51.52,49.78,54.71,48.91,49.98,50.48,49.83,49.86,50,85.58,49.73,51.28,52.87,74.47,-32768,-32768,70.12,69.97,169.84,169.97,169.74,169.97,70.17,77.1,170.04,170.09,170.12,175.52,169.92,177.8,159.72,169.79,178.42,111.06,199.28,21.14,21.49,21.21,48.67,50.31,14,-104.98,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,11412,-184,2021-02-22T19:48:27.000Z,1614023307,2/22/2021 12:00:00 AM,19:48:27,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,156.8,115.2,95,0,0.09,3017.5,0,0,0,1,1,0,0,624.99,624.94,52.1,50.22,55.14,48.99,50.02,50.53,50.07,49.98,50.17,85.46,50.17,50.85,52.8,74.25,-32768,-32768,69.9,70.05,169.94,169.92,169.84,170.02,70.43,77.9,170.02,169.89,170.07,175.55,170.04,177.85,159.84,169.92,178.35,110.98,198.91,21.19,21.21,21.06,48.79,50.51,13.95,-105.01,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,11413,-174,2021-02-22T19:48:37.000Z,1614023317,2/22/2021 12:00:00 AM,19:48:37,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,142.4,101.6,83.88,0,0.08,3017.5,0,0,0,1,1,0,0,625.06,625.08,52.22,50.41,55.36,49.06,50.19,50.7,50.02,49.98,50,85.43,50.46,50.19,52.87,73.96,-32768,-32768,70.05,70.12,170.02,169.89,169.82,169.89,70.38,77.9,169.89,170.02,170.12,175.5,169.94,177.75,159.77,169.84,178.4,111.01,199.11,21.19,21.29,21.06,48.7,50.56,14.08,-105.09,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,11414,-163,2021-02-22T19:48:48.000Z,1614023328,2/22/2021 12:00:00 AM,19:48:48,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,131.2,92,75.88,0,0.07,3017.5,0,0,0,1,1,0,0,624.99,625.08,52.39,50.65,55.48,49.2,50.34,50.77,49.93,49.98,50.07,85.38,50.6,49.71,52.44,73.89,-32768,-32768,70.14,70.14,169.92,169.92,169.92,170.02,70.36,77.82,170.12,170.09,170.12,175.52,169.84,177.72,159.89,169.84,178.57,110.96,199.26,21.04,21.51,21.21,48.72,50.56,14.25,-105.09,0,NA
C:/Users/clh/Dropbox/03 lectures/R/R files/2102 HZO ToolLog/data/MachSID2-202103011202.csv,11415,-153,2021-02-22T19:48:58.000Z,1614023338,2/22/2021 12:00:00 AM,19:48:58,PUMP DOWN,NA,NA,NA,Maint,0,0,0,0,0,0,122.4,83.2,69.36,0,0.07,3017.5,0,0,0,1,1,0,0,624.99,624.94,52.37,50.63,55.46,49.16,50.19,50.77,49.95,50,49.93,85.36,50.6,49.2,52.51,73.81,-32768,-32768,70.05,69.97,170.09,169.97,169.89,170.02,70.14,77.46,169.94,170.09,170.12,175.52,170.02,177.75,159.89,170.04,178.5,110.94,199.31,21.11,21.51,21.04,48.74,50.53,14.15,-105.09,0,NA
